0,,,,,Clair {loc}
1,,,,,Peu nuageux {loc}
2,,,,,Nuageux {loc}
3,,,,,Très nuageux {loc}
4,,,,,Couvert {loc}
5,,,,,Variable {loc}
6,,,,,Voilé {loc}
10,,,,,Sable {loc}
15,,,,,Trombe {loc}
30,,,,,Brume/brouillard {loc}
31,,,,,Brume {loc}
32,,,,,Brouillard {loc}
33,,,,,Brouillard dense {loc}
38,,,,,Brouillard givrant {loc}
39,,,,,Brouillard dense givrant {loc}
40,,,,,Bruine {loc}
49,,,,,Bruine verglaçante {loc}
50,,,,,Pluie possible {loc}
51,,,,,Pluie faible possible {loc}
52,,,,,Pluie modérée possible {loc}
53,,,,,Pluie forte possible {loc}
58,,,,,Pluie et neige mêlées possible {loc}
59,,,,,Pluie verglaçante possible {loc}
60,,,,,Neige possible {loc}
61,,,,,Neige faible possible {loc}
62,,,,,Neige modérée possible {loc}
63,,,,,Neige forte possible {loc}
70,,,,,Averses possibles {loc}
71,,,,,Rares averses possibles {loc}
72,,,,,Rares averses avec ciel ouvert possibles {loc}
73,,,,,Averses avec ciel couvert possibles {loc}
77,,,,,Averses de pluie et neige mêlées possibles {loc}
78,,,,,Averses de pluie et neige mêlées avec ciel couvert possibles {loc}
80,,,,,Averses de neige possibles {loc}
81,,,,,Rares averses de neige possibles {loc}
82,,,,,Rares averses de neige avec ciel couvert possibles {loc}
83,,,,,Averses de neige avec ciel couvert possibles {loc}
84,,,,,Averses de grésil possibles {loc}
85,,,,,Averses de grêle possibles {loc}
90,,,,,Orages possibles {loc}
91,,,,,Orages possibles {loc}
92,,,,,Averses orageuses possibles {loc}
93,,,,,Orages avec pluie possibles {loc}
97,,,,,Orages avec neige possibles {loc}
98,,,,,Orages avec grêle possibles {loc}
99,,,,,Orages violents possibles {loc}
32,33,,,,"Brouillard, localement dense {loc}"
32,38,,,,"Brouillard, localement givrant {loc}"
32,39,,,,"Brouillard, localement dense et givrant {loc}"
33,38,,,,Localement brouillard dense ou givrant {loc}
33,39,,,,"Localement brouillard dense, parfois givrant {loc}"
38,39,,,,"Localement brouillard givrant, parfois dense {loc}"
30,32,,,,Brouillard {loc}
30,33,,,,"Brouillard, localement dense {loc}"
30,38,,,,Brouillard localement givrant {loc}
30,39,,,,"Brouillard, localement dense et givrant {loc}"
40,49,,,,"Bruine possible, parfois verglaçante {loc}"
49,"(51, 52, 53)",,,,Bruine verglaçante ou pluie possibles {loc}
49,59,,,,Précipitations verglaçantes possibles {loc}
51,52,,,,Pluie faible à modérée possible {loc}
51,53,,,,Pluie possible {loc}
52,53,,,,Pluie modérée à forte possible {loc}
"(51, 52, 53)",58,,,,"Pluie possible, parfois mêlée de neige {loc}"
"(51, 52, 53)",59,,,,"Pluie possible, parfois verglaçante {loc}"
58,"(61, 62, 63)",,,,Neige prédominante possible {loc}
61,62,,,,Neige parfois modérée possible {loc}
61,63,,,,Neige parfois forte possible {loc}
62,63,,,,Neige parfois forte possible {loc}
"(61, 62, 63)","(80, 81, 82, 83)",,,,Épisodes neigeux possibles {loc}
70,"(71, 72, 73)",,,,Averses possibles {loc}
71,72,,,,Rares averses possibles {loc}
71,73,,,,Averses possibles {loc}
72,73,,,,Averses avec ciel couvert possibles {loc}
"(70, 71, 72, 73)","(77, 78)",,,,"Averses, parfois mêlées de neige possibles {loc}"
77,78,,,,Averses mêlées de neige possibles {loc}
80,"(81, 82, 83)",,,,Averses de neige possibles {loc}
82,83,,,,Averses de neige possibles {loc}
70,"(80, 81, 82, 83)",,,,"Averses possibles, parfois neigeuses {loc}"
71,"(80, 83)",,,,"Averses possibles, parfois neigeuses {loc}"
"(71, 72)","(81, 82)",,,,"Rares averses possibles, parfois neigeuses {loc}"
73,"(80, 81)",,,,"Averses possibles, parfois neigeuses {loc}"
73,"(82, 83)",,,,"Averses avec ciel couvert possibles, parfois neigeuses {loc}"
84,85,,,,Averses de grésil ou grêle possibles {loc}
"(70, 71, 72, 73)",92,,,,"Averses possibles, parfois orageuses {loc}"
84,92,,,,Averses possibles de grésil parfois orageuses {loc}
85,92,,,,Averses orageuses possibles parfois avec grêle {loc}
85,98,,,,Orages ou averses possibles avec grêle {loc}
91,92,,,,Orages et averses orageuses possibles {loc}
91,93,,,,Orages possibles parfois avec pluie {loc}
91,97,,,,"Orages possibles, parfois avec neige {loc}"
93,98,,,,Orages possibles avec pluie et grêle {loc}
93,99,,,,Orages possibles parfois violents avec pluie {loc}
97,99,,,,"Orages possibles, parfois violents avec neige {loc}"
98,99,,,,Orages possibles violents avec grêle {loc}
51,61,,,,"Précipitations faibles possibles, parfois neigeuses {loc}"
52,62,,,,"Précipitations modérées possibles, parfois neigeuses {loc}"
53,63,,,,"Précipitations fortes possibles, parfois neigeuses {loc}"
"(51, 52, 53)","(80, 81, 82, 83)",,,,"Pluie, averses de neige possibles {loc}"
"(51, 52, 53)","(91, 93)",,,,Pluie ou orages possibles {loc}
"(51, 52, 53)",98,,,,Pluie ou orages avec grêle possibles {loc}
"(51, 52, 53)",99,,,,Pluie ou orages violents possibles {loc}
"(61, 62, 63)","(70, 71, 72, 73)",,,,"Averses, neige possibles {loc}"
"(61, 62, 63)","(91, 97)",,,,"Orages, neige possibles {loc}"
"(61, 62, 63)",98,,,,"Giboulées orageuses, neige possibles {loc}"
"(61, 62, 63)",99,,,,"Orages violents, neige possibles {loc}"
"(70, 71, 72, 73)","(91, 93)",,,,Averses ou orages possibles {loc}
"(70, 71, 72, 73)",98,,,,Averses ou orages avec grêle possibles {loc}
"(70, 71, 72, 73)",99,,,,Averses ou orages violents possibles {loc}
"(80, 81, 82, 83)","(91, 97)",,,,"Orages, averses de neige possibles {loc}"
"(80, 81, 82, 83)",98,,,,"Giboulées orageuses, neige possibles {loc}"
"(80, 81, 82, 83)",99,,,,"Orages violents, neige possibles {loc}"
31,32,33,,,"Temps brumeux avec brouillard, parfois dense {loc}"
31,32,38,,,"Temps brumeux avec brouillard, parfois givrant {loc}"
31,32,39,,,"Temps brumeux avec brouillard, parfois dense et givrant {loc}"
32,33,38,,,"Brouillard, localement dense ou givrant {loc}"
32,33,39,,,"Brouillard, localement dense et givrant {loc}"
32,38,39,,,"Brouillard, localement givrant et dense {loc}"
33,38,39,,,Localement brouillard dense ou givrant {loc}
30,32,33,,,"Brouillard, localement dense {loc}"
30,32,38,,,"Brouillard, localement givrant {loc}"
30,32,39,,,"Brouillard, localement dense et givrant {loc}"
30,33,38,,,Brouillard localement dense ou givrant {loc}
30,33,39,,,"Brouillard localement dense, parfois givrant {loc}"
30,38,39,,,"Brouillard localement givrant, parfois dense {loc}"
31,32,33,"(38, 39)",,"Temps brumeux avec brouillard, parfois dense ou givrant {loc}"
31,33,38,39,,"Temps brumeux avec brouillard, parfois dense et givrant {loc}"
32,33,38,39,,"Brouillard, localement dense ou givrant {loc}"
30,32,33,38,,"Brouillard, localement dense ou givrant {loc}"
30,32,33,39,,"Brouillard, localement dense et givrant {loc}"
30,32,38,39,,"Brouillard, localement givrant et dense {loc}"
30,33,38,39,,Brouillard localement dense ou givrant {loc}
40,"(51, 52, 53)","(52, 53)",53,,Pluie et bruine {loc}
31,32,33,38,39,"Temps brumeux avec brouillard, parfois dense ou givrant {loc}"
