,starts_today,reference,start,stop,template
0,1,2,1,1,ce milieu de nuit de {weekday_m1} à {weekday}
1,1,2,1,4,cette nuit de {weekday_m1} à {weekday}
2,1,2,1,7,jusqu'à ce {weekday} début de matinée
3,1,2,1,10,jusqu'à ce {weekday} matin
4,1,2,1,13,jusqu'à ce {weekday} début d'après-midi
5,1,2,1,16,jusqu’à ce {weekday} après-midi
6,1,2,1,19,jusqu’à ce {weekday} soir
7,1,2,1,22,jusqu’en milieu de nuit de {weekday} à {weekday_p1}
8,1,2,1,25,jusqu'en cours de nuit de {weekday} à {weekday_p1}
9,1,2,4,4,cette fin de nuit de {weekday_m1} à {weekday}
10,1,2,4,7,ce {weekday} en tout début de journée
11,1,2,4,10,cette fin de nuit et ce {weekday} matin
12,1,2,4,13,de cette fin de nuit à ce {weekday} début d'après-midi
13,1,2,4,16,de cette fin de nuit à ce {weekday} après-midi
14,1,2,4,19,de cette fin de nuit à ce {weekday} soir
15,1,2,4,22,de cette fin de nuit jusqu’en milieu de nuit de {weekday} à {weekday_p1}
16,1,2,4,25,de cette fin de nuit jusqu’en cours de nuit de {weekday} à {weekday_p1}
17,1,2,4,28,de cette fin de nuit jusqu'en fin de nuit de {weekday} à {weekday_p1}
18,1,2,7,7,ce {weekday} début de matinée
19,1,2,7,10,ce {weekday} matin
20,1,2,7,13,ce {weekday} matin et mi-journée
21,1,2,7,16,ce {weekday}
22,1,2,7,19,ce {weekday} jusqu'en soirée
23,1,2,7,22,ce {weekday} jusqu’en milieu de nuit suivante
24,1,2,7,25,ce {weekday} jusqu'en cours de nuit suivante
25,1,2,7,28,ce {weekday} et nuit suivante
26,1,2,7,31,ce {weekday} jusqu'à {weekday_p1} début de matinée
27,1,2,10,10,ce {weekday} fin de matinée
28,1,2,10,13,ce {weekday} mi-journée
29,1,2,10,16,ce {weekday} fin de matinée et après-midi
30,1,2,10,19,ce {weekday} de la fin de matinée à la soirée
31,1,2,10,22,ce {weekday} de la fin de matinée jusqu'en milieu de nuit suivante
32,1,2,10,25,ce {weekday} de la fin de matinée jusqu'en cours de nuit suivante
33,1,2,10,28,de ce {weekday} fin de matinée à la fin de nuit suivante
34,1,2,10,31,de ce {weekday} fin de matinée à {weekday_p1} début de matinée
35,1,2,10,34,de ce {weekday} fin de matinée à {weekday_p1} matin
36,1,2,13,13,ce {weekday} en milieu de journée
37,1,2,13,16,ce {weekday} après-midi
38,1,2,13,19,ce {weekday} après-midi et soirée
39,1,2,13,22,de ce {weekday} après-midi jusqu'en milieu de nuit suivante
40,1,2,13,25,de ce {weekday} après-midi jusqu'en cours de nuit suivante
41,1,2,13,28,ce {weekday} après-midi et jusqu'en fin de nuit suivante
42,1,2,13,31,de ce {weekday} après-midi à {weekday_p1} début de matinée
43,1,2,13,34,de ce {weekday} après-midi à {weekday_p1} matin
44,1,2,13,37,de ce {weekday} après-midi à {weekday_p1} mi-journée
45,1,2,16,16,ce {weekday} après-midi
46,1,2,16,19,ce {weekday} après-midi et soirée
47,1,2,16,22,de ce {weekday} après-midi jusqu’en milieu de nuit suivante
48,1,2,16,25,de ce {weekday} après-midi jusqu'en cours de nuit suivante
49,1,2,16,28,de ce {weekday} après-midi jusqu'en fin de nuit suivante
50,1,2,16,31,de ce {weekday} après-midi à {weekday_p1} début de matinée
51,1,2,16,34,de ce {weekday} après-midi à {weekday_p1} matin
52,1,2,16,37,de ce {weekday} après-midi à {weekday_p1} mi-journée
53,1,2,16,40,de ce {weekday} après-midi à {weekday_p1} après-midi
54,1,2,19,19,ce {weekday} soir
55,1,2,19,22,ce {weekday} soir jusqu'en milieu de nuit
56,1,2,19,25,ce {weekday} soir et en cours de nuit
57,1,2,19,28,ce {weekday} soir jusqu'en fin de nuit
58,1,2,19,31,de ce {weekday} soir à {weekday_p1} début de matinée
59,1,2,19,34,de ce {weekday} soir au {weekday_p1} matin
60,1,2,19,37,de ce {weekday} soir à {weekday_p1} mi-journée
61,1,2,19,40,de ce {weekday} soir à {weekday_p1} après-midi
62,1,2,19,43,de ce {weekday} soir à {weekday_p1} soir
63,1,2,22,22,en première partie de nuit de {weekday} à {weekday_p1}
64,1,2,22,25,en cours de nuit de {weekday} à {weekday_p1}
65,1,2,22,28,la nuit de {weekday} à {weekday_p1}
66,1,2,22,31,la nuit de {weekday} à {weekday_p1} et {weekday_p1} début de matinée
67,1,2,22,34,la nuit de {weekday} à {weekday_p1} et {weekday_p1} matin
68,1,2,22,37,de la nuit de {weekday} à {weekday_p1} jusqu'à {weekday_p1} début d'après-midi
69,1,2,22,40,de la nuit de {weekday} à {weekday_p1} jusqu'à {weekday_p1} après-midi
70,1,2,22,43,de la nuit de {weekday} à {weekday_p1} jusqu'à {weekday_p1} soir
71,1,2,22,46,de la nuit de {weekday} à {weekday_p1} jusqu'en milieu de nuit suivante
72,1,2,25,25,en milieu de nuit de {weekday_m1} à {weekday}
73,1,2,25,28,en deuxième partie de nuit de {weekday_m1} à {weekday}
74,1,2,25,31,du milieu de nuit de {weekday_m1} à {weekday} à {weekday} début de matinée
75,1,2,25,34,du milieu de nuit de {weekday_m1} à {weekday} à {weekday} matin
76,1,2,25,37,du milieu de nuit de {weekday_m1} à {weekday} jusqu'à {weekday} début d'après-midi
77,1,2,25,40,du milieu de nuit de {weekday_m1} à {weekday} jusqu'à {weekday} après-midi
78,1,2,25,43,du milieu de nuit de {weekday_m1} à {weekday} jusqu'à {weekday} soir
79,1,2,25,46,du milieu de nuit de {weekday_m1} à {weekday} jusqu’en milieu de nuit suivante
80,1,2,25,49,du milieu de nuit de {weekday_m1} à {weekday} jusqu’en milieu de nuit suivante
81,1,2,28,28,en fin de nuit de {weekday_m1} à {weekday}
82,1,2,28,31,en fin de nuit de {weekday_m1} à {weekday} et {weekday} début de matinée
83,1,2,28,34,en fin de nuit de {weekday_m1} à {weekday} et {weekday} matin
84,1,2,28,37,en fin de nuit de {weekday_m1} à {weekday} jusqu’à {weekday} mi-journée
85,1,2,28,40,de la fin de nuit de {weekday_m1} à {weekday} jusqu'à {weekday} après-midi
86,1,2,28,43,de la fin de nuit de {weekday_m1} à {weekday} jusqu’à {weekday} soir
87,1,2,28,46,de la fin de nuit de {weekday_m1} à {weekday} jusqu’en début de nuit suivante
88,1,2,28,49,de la fin de nuit de {weekday_m1} à {weekday} jusqu'en milieu de nuit suivante
89,1,2,28,52,de la fin de nuit de {weekday_m1} à {weekday} jusqu'en fin de nuit suivante
90,1,2,31,31,{weekday} début de matinée
91,1,2,31,34,{weekday} matin
92,1,2,31,37,{weekday} matin et mi-journée
93,1,2,31,40,{weekday}
94,1,2,31,43,{weekday} jusqu'en soirée
95,1,2,31,46,{weekday} et début de nuit suivante
96,1,2,31,49,{weekday} jusqu'en cours de nuit suivante
97,1,2,31,52,{weekday} et nuit suivante
98,1,2,31,55,de {weekday} jusqu'à {weekday_p1} début de matinée
