CG_ID,methylation_gene_symbol,methylation_pval,methylation_logFC
cg100_1,Ndufs8,0.049800841,1.915612075
cg100_2,Uqcrq,0.013703958,-0.818592814
cg100_3,Ndufb4b,0.04003985,2.648865541
cg100_4,Cox5a,0.035938263,2.818395984
cg100_5,Nr1h3,0.03056414,-0.230053198
cg100_6,Ppara,0.024340324,-1.28430098
cg100_7,Cox7a2l,0.042964118,-0.781716062
cg100_8,Pik3ca,0.009051359,3.913782989
cg100_9,Srebf1,0.009026755,2.720909115
cg100_10,Cox7b2,0.003790547,-1.408139646
cg100_11,Rxra,0.005385527,1.598639445
cg100_12,Nfkb1,0.021784019,-0.099755313
cg100_13,Cox7a2l,0.018369816,1.514926457
cg100_14,Ndufs8,0.000254495,-1.261514767
cg100_15,Ndufa13,0.026179784,-1.443099854
cg100_16,Ndufs4,0.028934713,-0.034910063
cg100_17,Ndufa7,0.028076389,1.518377698
cg100_18,Il1b,0.003654069,3.230463459
cg100_19,Ndufb8,0.041913645,0.73752325
cg200_20,Bcl2l11,0.038198883,0.96372703
cg200_21,Socs3,0.004688104,1.670905632
cg200_22,Mapk11,0.039185658,-0.088398281
cg200_23,Mapk14,0.030776432,-0.681843686
cg200_24,Il1a,0.022492093,-1.735266614
cg200_25,Il6,0.042995279,0.319294825
cg200_26,Prkaa1,0.027489732,1.582213597
cg200_27,Itch,0.012704877,2.540207233
cg200_28,Ndufc1,0.006615777,1.34108412
cg200_29,Adipor1,0.046267629,3.186933867
cg200_30,Cox5a,0.049630917,3.109592682
cg200_31,Rela,0.032816924,-1.446712864
cg200_32,Sdha,0.037498749,0.813286416
cg200_33,Ndufs1,0.043007867,-1.54012238
cg200_34,Ndufv2,0.001899329,2.919563416
cg200_35,Fasl,0.028602655,-0.307592184
cg200_36,Rac1,0.042158629,-0.856610885
cg200_37,Sdhd,0.008868499,3.43508751
cg200_38,Bax,0.025403749,-0.21310347
cg200_39,Adipor2,0.035055265,2.310529818
cg200_40,Ppara,0.004316695,1.179344778
cg200_41,Insr,0.024648031,3.827282477
cg200_42,Cox8c,0.032218321,2.619070684
cg200_43,Uqcrfs1,0.024170817,2.872457001
cg200_44,Eif2ak3,0.015386086,2.732835136
cg200_45,Akt1,0.030818034,1.870230197
cg200_46,Uqcr11,2.56E-05,-1.978183898
cg200_47,Il1a,0.007045109,1.552497249
cg200_48,Ndufs1,0.04984605,1.693046349
cg200_49,Bax,0.024953255,0.708593889
cg900_50,Eif2s1,0.01439955,-0.232897747
cg900_51,Bcl2l11,0.006780724,0.629583828
cg900_52,Ndufb8,0.01103601,0.036314226
cg900_53,Ndufa13,0.017384187,3.805737546
cg900_54,Il6,0.018305706,-0.583071672
cg900_55,Il1a,0.023763321,3.513787418
cg900_56,Uqcrfs1,0.013629309,0.331050453
cg900_57,Bcl2l11,0.004417464,-0.238649107
cg900_58,Ndufs8,0.038345141,3.986182755
cg900_59,Cox8c,0.032860252,-0.344857654
cg900_60,Cox5a,0.022770628,-1.856998885
cg900_61,Mapk14,0.036769655,-1.674949455
cg900_62,Ndufb8,0.007534715,3.094796587
cg900_63,Adipor2,0.041284808,3.517753071
cg900_64,Rxra,0.039090617,-1.867641847
cg900_65,Rela,0.028739767,1.306976501
cg900_66,Prkaa1,0.025732131,1.466575325
cg900_67,Ndufs4,0.010860639,2.727513219
cg900_68,Il1a,0.019711851,3.364490537
cg900_69,Prkaa1,0.026549434,0.687983791
cg900_70,Sdha,0.01178145,2.284505585
cg900_71,Rac1,0.021763471,1.865181521
cg900_72,Ndufb4b,0.020619533,3.074277347
cg900_73,Nr1h3,0.027872943,1.808854017
cg900_74,Cox7a2l,0.045746866,2.583929324
cg900_75,Fasl,0.007337923,3.911248871
cg900_76,Cox8c,0.031008151,1.183389145
cg900_77,Ndufs1,0.017316988,1.484705641
cg900_78,Mapk11,0.034839868,1.261718034
cg900_79,Ndufa7,0.014093647,-1.839269076
cg900_80,Bax,0.031314377,-0.159630546
cg900_81,Pik3ca,0.012529616,0.434896155
cg900_82,Mlxip,0.04082166,-0.902102956
cg900_83,Cox7b,0.023151612,-1.08416648
cg900_84,Pklr,0.015973029,3.020363238
cg900_85,Cox7c,0.047200369,0.949404163
cg900_86,Cox8c,0.017125316,1.603110927
cg900_87,Ndufb9,0.013091444,3.233574489
cg900_88,Ppara,0.002397576,1.977571333
cg900_89,Cox7b2,0.017531701,3.917841672
cg900_90,Itch,0.01820905,1.823769631
cg900_91,Insr,0.042211134,-1.278724524
cg900_92,Ndufs8,0.007148221,0.802184321
cg900_93,Srebf1,0.042235839,-1.401677119
cg900_94,Uqcrq,0.030552214,0.408389785
cg900_95,Sdhd,0.036076219,2.963382613
cg900_96,Mapk14,0.042675432,0.063178628
cg900_97,Ndufb4b,0.029389919,0.526414509
cg900_98,Casp7,0.047604398,2.768322239
cg900_99,Eif2s1,0.030439541,-1.427285334
cg900_100,Ppara,0.018543753,3.021886771
cg900_101,Ndufb4b,0.04003985,2.648865541
cg900_102,Cox5a,0.035938263,2.818395984
cg900_103,Nr1h3,0.03056414,-0.230053198
cg900_104,Ppara,0.024340324,-1.28430098
cg900_105,Cox7a2l,0.042964118,-0.781716062
cg900_106,Pik3ca,0.009051359,3.913782989
cg900_107,Srebf1,0.009026755,2.720909115
cg900_108,Insr,0.042211134,-1.278724524
cg900_109,Ndufs8,0.007148221,0.802184321
cg900_110,Srebf1,0.042235839,-1.401677119
cg900_111,Uqcrq,0.030552214,0.408389785
cg900_112,Sdhd,0.036076219,2.963382613
cg900_113,Mapk14,0.042675432,0.063178628
cg900_114,Ndufb4b,0.029389919,0.526414509
cg900_115,Casp7,0.047604398,2.768322239
cg900_116,Eif2s1,0.030439541,-1.427285334
cg900_117,Ppara,0.018543753,3.021886771
cg900_118,Ndufb4b,0.04003985,2.648865541
cg900_119,Cox5a,0.035938263,2.818395984
cg900_120,Nr1h3,0.03056414,-0.230053198
cg900_121,Ppara,0.024340324,-1.28430098
cg900_122,Adipor2,0.035055265,2.310529818
cg900_123,Ppara,0.004316695,1.179344778
cg900_124,Insr,0.024648031,3.827282477
