,starts_today,reference,start,stop,template
0,1,2,1,1,esta media noche desde {weekday_m1} hasta {weekday}
1,1,2,1,4,esta noche del {weekday_m1} al {weekday}
2,1,2,1,7,hasta {weekday} temprano en la mañana
3,1,2,1,10,hasta esta mañana {weekday}
4,1,2,1,13,hasta {weekday} primera hora de la tarde
5,1,2,1,16,hasta esta tarde {weekday}
6,1,2,1,19,hasta esta noche {weekday}
7,1,2,1,22,hasta media noche desde {weekday} hasta {weekday_p1}
8,1,2,1,25,hasta clases nocturnas de {weekday} a {weekday_p1}
9,1,2,4,4,esta noche de {weekday_m1} a {weekday}
10,1,2,4,7,este {weekday} al comienzo del día
11,1,2,4,10,esta noche y esta mañana {weekday}
12,1,2,4,13,desde esta noche hasta esta tarde {weekday}
13,1,2,4,16,desde esta noche hasta esta tarde {weekday}
14,1,2,4,19,desde esta noche hasta esta noche {weekday}
15,1,2,4,22,desde esta noche hasta media noche desde {weekday} hasta {weekday_p1}
16,1,2,4,25,desde este final de la noche hasta media noche desde {weekday} hasta {weekday_p1}
17,1,2,4,28,desde esta tarde en la noche hasta tarde en la noche desde {weekday} hasta {weekday_p1}
18,1,2,7,7,este {weekday} temprano en la mañana
19,1,2,7,10,esta mañana {weekday}
20,1,2,7,13,este {weekday} mañana y mediodía
21,1,2,7,16,este {weekday}
22,1,2,7,19,este {weekday} hasta la noche
23,1,2,7,22,este {weekday} hasta media noche siguiente
24,1,2,7,25,este {weekday} hasta la noche siguiente
25,1,2,7,28,este {weekday} y la noche siguiente
26,1,2,7,31,este {weekday} hasta el {weekday_p1} temprano en la mañana
27,1,2,10,10,este {weekday} a última hora de la mañana
28,1,2,10,13,este {weekday} mediodía
29,1,2,10,16,este {weekday} a última hora de la mañana y de la tarde
30,1,2,10,19,este {weekday} desde última hora de la mañana hasta la noche
31,1,2,10,22,este {weekday} desde última hora de la mañana hasta media noche siguiente
32,1,2,10,25,este {weekday} desde última hora de la mañana hasta la noche siguiente
33,1,2,10,28,desde este {weekday} a última hora de la mañana hasta la siguiente tarde en la noche
34,1,2,10,31,desde esta {weekday} tarde por la mañana hasta {weekday_p1} temprano en la mañana
35,1,2,10,34,desde esta tarde de {weekday} por la mañana hasta {weekday_p1} por la mañana
36,1,2,13,13,este {weekday} a mitad del día
37,1,2,13,16,esta tarde {weekday}
38,1,2,13,19,este {weekday} tarde y noche
39,1,2,13,22,desde esta tarde {weekday} hasta mediados de la noche siguiente
40,1,2,13,25,desde esta tarde {weekday} hasta la noche siguiente
41,1,2,13,28,esta tarde {weekday} y hasta el final de la noche siguiente
42,1,2,13,31,desde esta tarde de {weekday_p1} hasta la madrugada de {weekday_p1}
43,1,2,13,34,desde esta tarde de {weekday} hasta la mañana de {weekday_p1}
44,1,2,13,37,desde esta tarde de {weekday} hasta el {weekday_p1} mediodía
45,1,2,16,16,esta tarde {weekday}
46,1,2,16,19,este {weekday} tarde y noche
47,1,2,16,22,desde esta tarde {weekday} hasta mediados de la noche siguiente
48,1,2,16,25,desde esta tarde {weekday} hasta la noche siguiente
49,1,2,16,28,desde esta tarde {weekday} hasta el final de la noche siguiente
50,1,2,16,31,desde esta tarde de {weekday_p1} hasta la madrugada de {weekday_p1}
51,1,2,16,34,desde esta tarde de {weekday} hasta la mañana de {weekday_p1}
52,1,2,16,37,desde esta tarde de {weekday} hasta el {weekday_p1} mediodía
53,1,2,16,40,desde esta tarde de {weekday} hasta la tarde de {weekday_p1}
54,1,2,19,19,esta noche {weekday}
55,1,2,19,22,esta tarde {weekday} hasta media noche
56,1,2,19,25,esta tarde {weekday} y durante la noche
57,1,2,19,28,esta tarde {weekday} hasta bien entrada la noche
58,1,2,19,31,desde esta tarde de {weekday_p1} hasta la madrugada de {weekday_p1}
59,1,2,19,34,desde esta tarde de {weekday} hasta la mañana de {weekday_p1}
60,1,2,19,37,desde esta tarde de {weekday} hasta el {weekday_p1} mediodía
61,1,2,19,40,desde esta tarde de {weekday} hasta la tarde de {weekday_p1}
62,1,2,19,43,desde esta noche de {weekday} hasta la noche de {weekday_p1}
63,1,2,22,22,primera parte de la noche de {weekday} a {weekday_p1}
64,1,2,22,25,durante la noche del {weekday} al {weekday_p1}
65,1,2,22,28,la noche del {weekday} al {weekday_p1}
66,1,2,22,31,la noche del {weekday_p1} al {weekday_p1} y la madrugada del {weekday_p1}
67,1,2,22,34,la noche del {weekday} al {weekday_p1} y la mañana del {weekday_p1}
68,1,2,22,37,desde la noche del {weekday_p1} hasta el {weekday_p1} primera hora de la tarde
69,1,2,22,40,desde la noche del {weekday_p1} hasta la tarde del {weekday_p1}
70,1,2,22,43,desde la noche del {weekday_p1} hasta la noche del {weekday_p1}
71,1,2,22,46,desde la noche del {weekday} al {weekday_p1} hasta la mitad de la noche siguiente
72,1,2,25,25,en mitad de la noche desde {weekday_m1} hasta {weekday}
73,1,2,25,28,en la segunda parte de la noche del {weekday_m1} al {weekday}
74,1,2,25,31,media noche desde el {weekday_m1} hasta el {weekday} hasta el {weekday} temprano en la mañana
75,1,2,25,34,desde media noche desde el {weekday_m1} hasta el {weekday} hasta el {weekday} mañana
76,1,2,25,37,desde media noche desde {weekday_m1} hasta {weekday} hasta {weekday} primera hora de la tarde
77,1,2,25,40,desde media noche desde el {weekday_m1} hasta el {weekday} hasta el {weekday} por la tarde
78,1,2,25,43,desde media noche desde el {weekday_m1} hasta el {weekday} hasta la {weekday} noche
79,1,2,25,46,desde media noche desde {weekday_m1} hasta {weekday} hasta media noche siguiente
80,1,2,25,49,desde media noche desde {weekday_m1} hasta {weekday} hasta media noche siguiente
81,1,2,28,28,tarde en la noche desde {weekday_m1} hasta {weekday}
82,1,2,28,31,tarde en la noche desde {weekday_m1} hasta {weekday} y {weekday} temprano en la mañana
83,1,2,28,34,tarde en la noche desde {weekday_m1} hasta {weekday} y {weekday} por la mañana
84,1,2,28,37,tarde en la noche desde {weekday_m1} hasta {weekday} hasta {weekday} mediodía
85,1,2,28,40,desde la noche del {weekday_m1} hasta el {weekday} hasta la tarde del {weekday}
86,1,2,28,43,desde la noche del {weekday_m1} hasta el {weekday} hasta la noche del {weekday}
87,1,2,28,46,desde el final de la noche del {weekday_m1} hasta el {weekday} hasta el comienzo de la noche siguiente
88,1,2,28,49,desde el final de la noche del {weekday_m1} hasta el {weekday} hasta la mitad de la noche siguiente
89,1,2,28,52,desde el final de la noche del {weekday_m1} hasta el {weekday} hasta el final de la noche siguiente
90,1,2,31,31,{weekday} temprano en la mañana
91,1,2,31,34,{weekday} mañana
92,1,2,31,37,{weekday} mañana y mediodía
93,1,2,31,40,{weekday}
94,1,2,31,43,{weekday} hasta la noche
95,1,2,31,46,{weekday} y comienzo de la noche siguiente
96,1,2,31,49,{weekday} hasta la clase de la noche siguiente
97,1,2,31,52,{weekday} y la noche siguiente
98,1,2,31,55,desde {weekday} hasta {weekday_p1} temprano en la mañana
99,1,10,1,1,En medio de la noche
100,1,10,1,4,esta noche pasada
